x_mm,y_mm,raman_shift_cm-1,intensity
37.900,25.200,1016.0000,109.041096
37.900,25.200,1018.0000,96.000000
37.900,25.200,1020.0000,86.238532
37.900,25.200,1022.0000,78.769231
37.900,25.200,1024.0000,72.941176
37.900,25.200,1026.0000,68.314607
37.900,25.200,1028.0000,64.585366
37.900,25.200,1030.0000,61.538462
37.900,25.200,1032.0000,59.018868
37.900,25.200,1034.0000,56.912752
37.900,25.200,1036.0000,55.135135
37.900,25.200,1038.0000,53.621622
37.900,25.200,1040.0000,52.322738
37.900,25.200,1042.0000,51.200000
37.900,25.200,1044.0000,50.223124
37.900,25.200,1046.0000,49.368030
37.900,25.200,1048.0000,48.615385
37.900,25.200,1050.0000,47.949527
37.900,25.200,1052.0000,47.357664
37.900,25.200,1054.0000,46.829268
37.900,25.200,1056.0000,46.355612
37.900,25.200,1058.0000,45.929412
37.900,25.200,1060.0000,45.544554
37.900,25.200,1062.0000,45.195876
37.900,25.200,1064.0000,44.878993
37.900,25.200,1066.0000,44.590164
37.900,25.200,1068.0000,44.326180
37.900,25.200,1070.0000,44.084279
37.900,25.200,1072.0000,43.862069
37.900,25.200,1074.0000,43.657475
37.900,25.200,1076.0000,43.468685
37.900,25.200,1078.0000,43.294118
37.900,25.200,1080.0000,43.132380
37.900,25.200,1082.0000,42.982249
37.900,25.200,1084.0000,42.842640
37.900,25.200,1086.0000,42.712594
37.900,25.200,1088.0000,42.591260
37.900,25.200,1090.0000,42.477876
37.900,25.200,1092.0000,42.371765
37.900,25.200,1094.0000,42.272317
37.900,25.200,1096.0000,42.178988
37.900,25.200,1098.0000,42.091286
37.900,25.200,1100.0000,42.008768
38.000,25.200,900.0000,42.223994
38.000,25.200,902.0000,42.315353
38.000,25.200,904.0000,42.412451
38.000,25.200,906.0000,42.515780
38.000,25.200,908.0000,42.625882
38.000,25.200,910.0000,42.743363
38.000,25.200,912.0000,42.868895
38.000,25.200,914.0000,43.003229
38.000,25.200,916.0000,43.147208
38.000,25.200,918.0000,43.301775
38.000,25.200,920.0000,43.467993
38.000,25.200,922.0000,43.647059
38.000,25.200,924.0000,43.840330
38.000,25.200,926.0000,44.049347
38.000,25.200,928.0000,44.275862
38.000,25.200,930.0000,44.521880
38.000,25.200,932.0000,44.789700
38.000,25.200,934.0000,45.081967
38.000,25.200,936.0000,45.401742
38.000,25.200,938.0000,45.752577
38.000,25.200,940.0000,46.138614
38.000,25.200,942.0000,46.564706
38.000,25.200,944.0000,47.036570
38.000,25.200,946.0000,47.560976
38.000,25.200,948.0000,48.145985
38.000,25.200,950.0000,48.801262
38.000,25.200,952.0000,49.538462
38.000,25.200,954.0000,50.371747
38.000,25.200,956.0000,51.318458
38.000,25.200,958.0000,52.400000
38.000,25.200,960.0000,53.643032
38.000,25.200,962.0000,55.081081
38.000,25.200,964.0000,56.756757
38.000,25.200,966.0000,58.724832
38.000,25.200,968.0000,61.056604
38.000,25.200,970.0000,63.846154
38.000,25.200,972.0000,67.219512
38.000,25.200,974.0000,71.348315
38.000,25.200,976.0000,76.470588
38.000,25.200,978.0000,82.923077
38.000,25.200,980.0000,91.192661
38.000,25.200,982.0000,102.000000
38.000,25.200,984.0000,116.438356
38.000,25.200,986.0000,136.206897
38.000,25.200,988.0000,164.000000
38.000,25.200,990.0000,204.117647
38.000,25.200,992.0000,263.200000
38.000,25.200,994.0000,350.000000
38.000,25.200,996.0000,469.230769
38.000,25.200,998.0000,598.000000
38.000,25.200,1000.0000,660.000000
38.000,25.200,1002.0000,598.000000
38.000,25.200,1004.0000,469.230769
38.000,25.200,1006.0000,350.000000
38.000,25.200,1008.0000,263.200000
38.000,25.200,1010.0000,204.117647
38.000,25.200,1012.0000,164.000000
38.000,25.200,1014.0000,136.206897
38.000,25.200,1016.0000,116.438356
38.000,25.200,1018.0000,102.000000
38.000,25.200,1020.0000,91.192661
38.000,25.200,1022.0000,82.923077
38.000,25.200,1024.0000,76.470588
38.000,25.200,1026.0000,71.348315
38.000,25.200,1028.0000,67.219512
38.000,25.200,1030.0000,63.846154
38.000,25.200,1032.0000,61.056604
38.000,25.200,1034.0000,58.724832
38.000,25.200,1036.0000,56.756757
38.000,25.200,1038.0000,55.081081
38.000,25.200,1040.0000,53.643032
38.000,25.200,1042.0000,52.400000
38.000,25.200,1044.0000,51.318458
38.000,25.200,1046.0000,50.371747
38.000,25.200,1048.0000,49.538462
38.000,25.200,1050.0000,48.801262
38.000,25.200,1052.0000,48.145985
38.000,25.200,1054.0000,47.560976
38.000,25.200,1056.0000,47.036570
38.000,25.200,1058.0000,46.564706
38.000,25.200,1060.0000,46.138614
38.000,25.200,1062.0000,45.752577
38.000,25.200,1064.0000,45.401742
38.000,25.200,1066.0000,45.081967
38.000,25.200,1068.0000,44.789700
38.000,25.200,1070.0000,44.521880
38.000,25.200,1072.0000,44.275862
38.000,25.200,1074.0000,44.049347
38.000,25.200,1076.0000,43.840330
38.000,25.200,1078.0000,43.647059
38.000,25.200,1080.0000,43.467993
38.000,25.200,1082.0000,43.301775
38.000,25.200,1084.0000,43.147208
38.000,25.200,1086.0000,43.003229
38.000,25.200,1088.0000,42.868895
38.000,25.200,1090.0000,42.743363
38.000,25.200,1092.0000,42.625882
38.000,25.200,1094.0000,42.515780
38.000,25.200,1096.0000,42.412451
38.000,25.200,1098.0000,42.315353
38.000,25.200,1100.0000,42.223994
37.800,25.300,900.0000,42.439219
37.800,25.300,902.0000,42.539419
37.800,25.300,904.0000,42.645914
37.800,25.300,906.0000,42.759243
37.800,25.300,908.0000,42.880000
37.800,25.300,910.0000,43.008850
37.800,25.300,912.0000,43.146530
37.800,25.300,914.0000,43.293864
37.800,25.300,916.0000,43.451777
37.800,25.300,918.0000,43.621302
37.800,25.300,920.0000,43.803605
37.800,25.300,922.0000,44.000000
37.800,25.300,924.0000,44.211975
37.800,25.300,926.0000,44.441219
37.800,25.300,928.0000,44.689655
37.800,25.300,930.0000,44.959481
37.800,25.300,932.0000,45.253219
37.800,25.300,934.0000,45.573770
37.800,25.300,936.0000,45.924492
37.800,25.300,938.0000,46.309278
37.800,25.300,940.0000,46.732673
37.800,25.300,942.0000,47.200000
37.800,25.300,944.0000,47.717528
37.800,25.300,946.0000,48.292683
37.800,25.300,948.0000,48.934307
37.800,25.300,950.0000,49.652997
37.800,25.300,952.0000,50.461538
37.800,25.300,954.0000,51.375465
37.800,25.300,956.0000,52.413793
37.800,25.300,958.0000,53.600000
37.800,25.300,960.0000,54.963325
37.800,25.300,962.0000,56.540541
37.800,25.300,964.0000,58.378378
37.800,25.300,966.0000,60.536913
37.800,25.300,968.0000,63.094340
37.800,25.300,970.0000,66.153846
37.800,25.300,972.0000,69.853659
37.800,25.300,974.0000,74.382022
37.800,25.300,976.0000,80.000000
37.800,25.300,978.0000,87.076923
37.800,25.300,980.0000,96.146789
37.800,25.300,982.0000,108.000000
37.800,25.300,984.0000,123.835616
37.800,25.300,986.0000,145.517241
37.800,25.300,988.0000,176.000000
37.800,25.300,990.0000,220.000000
37.800,25.300,992.0000,284.800000
37.800,25.300,994.0000,380.000000
37.800,25.300,996.0000,510.769231
37.800,25.300,998.0000,652.000000
37.800,25.300,1000.0000,720.000000
37.800,25.300,1002.0000,652.000000
37.800,25.300,1004.0000,510.769231
37.800,25.300,1006.0000,380.000000
37.800,25.300,1008.0000,284.800000
37.800,25.300,1010.0000,220.000000
37.800,25.300,1012.0000,176.000000
37.800,25.300,1014.0000,145.517241
37.800,25.300,1016.0000,123.835616
37.800,25.300,1018.0000,108.000000
37.800,25.300,1020.0000,96.146789
37.800,25.300,1022.0000,87.076923
37.800,25.300,1024.0000,80.000000
37.800,25.300,1026.0000,74.382022
37.800,25.300,1028.0000,69.853659
37.800,25.300,1030.0000,66.153846
37.800,25.300,1032.0000,63.094340
37.800,25.300,1034.0000,60.536913
37.800,25.300,1036.0000,58.378378
37.800,25.300,1038.0000,56.540541
37.800,25.300,1040.0000,54.963325
37.800,25.300,1042.0000,53.600000
37.800,25.300,1044.0000,52.413793
37.800,25.300,1046.0000,51.375465
37.800,25.300,1048.0000,50.461538
37.800,25.300,1050.0000,49.652997
37.800,25.300,1052.0000,48.934307
37.800,25.300,1054.0000,48.292683
37.800,25.300,1056.0000,47.717528
37.800,25.300,1058.0000,47.200000
37.800,25.300,1060.0000,46.732673
37.800,25.300,1062.0000,46.309278
37.800,25.300,1064.0000,45.924492
37.800,25.300,1066.0000,45.573770
37.800,25.300,1068.0000,45.253219
37.800,25.300,1070.0000,44.959481
37.800,25.300,1072.0000,44.689655
37.800,25.300,1074.0000,44.441219
37.800,25.300,1076.0000,44.211975
37.800,25.300,1078.0000,44.000000
37.800,25.300,1080.0000,43.803605
37.800,25.300,1082.0000,43.621302
37.800,25.300,1084.0000,43.451777
37.800,25.300,1086.0000,43.293864
37.800,25.300,1088.0000,43.146530
37.800,25.300,1090.0000,43.008850
37.800,25.300,1092.0000,42.880000
37.800,25.300,1094.0000,42.759243
37.800,25.300,1096.0000,42.645914
37.800,25.300,1098.0000,42.539419
37.800,25.300,1100.0000,42.439219
37.900,25.300,900.0000,42.654444
37.900,25.300,902.0000,42.763485
37.900,25.300,904.0000,42.879377
37.900,25.300,906.0000,43.002705
37.900,25.300,908.0000,43.134118
37.900,25.300,910.0000,43.274336
37.900,25.300,912.0000,43.424165
37.900,25.300,914.0000,43.584499
37.900,25.300,916.0000,43.756345
37.900,25.300,918.0000,43.940828
37.900,25.300,920.0000,44.139217
37.900,25.300,922.0000,44.352941
37.900,25.300,924.0000,44.583620
37.900,25.300,926.0000,44.833091
37.900,25.300,928.0000,45.103448
37.900,25.300,930.0000,45.397083
37.900,25.300,932.0000,45.716738
37.900,25.300,934.0000,46.065574
37.900,25.300,936.0000,46.447241
37.900,25.300,938.0000,46.865979
37.900,25.300,940.0000,47.326733
37.900,25.300,942.0000,47.835294
37.900,25.300,944.0000,48.398487
37.900,25.300,946.0000,49.024390
37.900,25.300,948.0000,49.722628
37.900,25.300,950.0000,50.504732
37.900,25.300,952.0000,51.384615
37.900,25.300,954.0000,52.379182
37.900,25.300,956.0000,53.509128
37.900,25.300,958.0000,54.800000
37.900,25.300,960.0000,56.283619
37.900,25.300,962.0000,58.000000
37.900,25.300,964.0000,60.000000
37.900,25.300,966.0000,62.348993
37.900,25.300,968.0000,65.132075
37.900,25.300,970.0000,68.461538
37.900,25.300,972.0000,72.487805
37.900,25.300,974.0000,77.415730
37.900,25.300,976.0000,83.529412
37.900,25.300,978.0000,91.230769
37.900,25.300,980.0000,101.100917
37.900,25.300,982.0000,114.000000
37.900,25.300,984.0000,131.232877
37.900,25.300,986.0000,154.827586
37.900,25.300,988.0000,188.000000
37.900,25.300,990.0000,235.882353
37.900,25.300,992.0000,306.400000
37.900,25.300,994.0000,410.000000
37.900,25.300,996.0000,552.307692
37.900,25.300,998.0000,706.000000
37.900,25.300,1000.0000,780.000000
37.900,25.300,1002.0000,706.000000
37.900,25.300,1004.0000,552.307692
37.900,25.300,1006.0000,410.000000
37.900,25.300,1008.0000,306.400000
37.900,25.300,1010.0000,235.882353
37.900,25.300,1012.0000,188.000000
37.900,25.300,1014.0000,154.827586
37.900,25.300,1016.0000,131.232877
37.900,25.300,1018.0000,114.000000
37.900,25.300,1020.0000,101.100917
37.900,25.300,1022.0000,91.230769
37.900,25.300,1024.0000,83.529412
37.900,25.300,1026.0000,77.415730
37.900,25.300,1028.0000,72.487805
37.900,25.300,1030.0000,68.461538
37.900,25.300,1032.0000,65.132075
37.900,25.300,1034.0000,62.348993
37.900,25.300,1036.0000,60.000000
37.900,25.300,1038.0000,58.000000
37.900,25.300,1040.0000,56.283619
37.900,25.300,1042.0000,54.800000
37.900,25.300,1044.0000,53.509128
37.900,25.300,1046.0000,52.379182
37.900,25.300,1048.0000,51.384615
37.900,25.300,1050.0000,50.504732
37.900,25.300,1052.0000,49.722628
37.900,25.300,1054.0000,49.024390
37.900,25.300,1056.0000,48.398487
37.900,25.300,1058.0000,47.835294
37.900,25.300,1060.0000,47.326733
37.900,25.300,1062.0000,46.865979
37.900,25.300,1064.0000,46.447241
37.900,25.300,1066.0000,46.065574
37.900,25.300,1068.0000,45.716738
37.900,25.300,1070.0000,45.397083
37.900,25.300,1072.0000,45.103448
37.900,25.300,1074.0000,44.833091
37.900,25.300,1076.0000,44.583620
37.900,25.300,1078.0000,44.352941
37.900,25.300,1080.0000,44.139217
37.900,25.300,1082.0000,43.940828
37.900,25.300,1084.0000,43.756345
37.900,25.300,1086.0000,43.584499
37.900,25.300,1088.0000,43.424165
37.900,25.300,1090.0000,43.274336
37.900,25.300,1092.0000,43.134118
37.900,25.300,1094.0000,43.002705
37.900,25.300,1096.0000,42.879377
37.900,25.300,1098.0000,42.763485
37.900,25.300,1100.0000,42.654444
38.000,25.300,900.0000,42.869669
38.000,25.300,902.0000,42.987552
38.000,25.300,904.0000,43.112840
38.000,25.300,906.0000,43.246168
38.000,25.300,908.0000,43.388235
38.000,25.300,910.0000,43.539823
38.000,25.300,912.0000,43.701799
38.000,25.300,914.0000,43.875135
38.000,25.300,916.0000,44.060914
38.000,25.300,918.0000,44.260355
38.000,25.300,920.0000,44.474829
38.000,25.300,922.0000,44.705882
38.000,25.300,924.0000,44.955265
38.000,25.300,926.0000,45.224964
38.000,25.300,928.0000,45.517241
38.000,25.300,930.0000,45.834684
38.000,25.300,932.0000,46.180258
38.000,25.300,934.0000,46.557377
38.000,25.300,936.0000,46.969990
38.000,25.300,938.0000,47.422680
38.000,25.300,940.0000,47.920792
38.000,25.300,942.0000,48.470588
38.000,25.300,944.0000,49.079445
38.000,25.300,946.0000,49.756098
38.000,25.300,948.0000,50.510949
38.000,25.300,950.0000,51.356467
38.000,25.300,952.0000,52.307692
38.000,25.300,954.0000,53.382900
38.000,25.300,956.0000,54.604462
38.000,25.300,958.0000,56.000000
38.000,25.300,960.0000,57.603912
38.000,25.300,962.0000,59.459459
38.000,25.300,964.0000,61.621622
38.000,25.300,966.0000,64.161074
38.000,25.300,968.0000,67.169811
38.000,25.300,970.0000,70.769231
38.000,25.300,972.0000,75.121951
38.000,25.300,974.0000,80.449438
38.000,25.300,976.0000,87.058824
38.000,25.300,978.0000,95.384615
38.000,25.300,980.0000,106.055046
38.000,25.300,982.0000,120.000000
38.000,25.300,984.0000,138.630137
38.000,25.300,986.0000,164.137931
38.000,25.300,988.0000,200.000000
38.000,25.300,990.0000,251.764706
38.000,25.300,992.0000,328.000000
38.000,25.300,994.0000,440.000000
38.000,25.300,996.0000,593.846154
38.000,25.300,998.0000,760.000000
38.000,25.300,1000.0000,840.000000
38.000,25.300,1002.0000,760.000000
38.000,25.300,1004.0000,593.846154
38.000,25.300,1006.0000,440.000000
38.000,25.300,1008.0000,328.000000
38.000,25.300,1010.0000,251.764706
38.000,25.300,1012.0000,200.000000
38.000,25.300,1014.0000,164.137931
38.000,25.300,1016.0000,138.630137
38.000,25.300,1018.0000,120.000000
38.000,25.300,1020.0000,106.055046
38.000,25.300,1022.0000,95.384615
38.000,25.300,1024.0000,87.058824
38.000,25.300,1026.0000,80.449438
38.000,25.300,1028.0000,75.121951
38.000,25.300,1030.0000,70.769231
38.000,25.300,1032.0000,67.169811
38.000,25.300,1034.0000,64.161074
38.000,25.300,1036.0000,61.621622
38.000,25.300,1038.0000,59.459459
38.000,25.300,1040.0000,57.603912
38.000,25.300,1042.0000,56.000000
38.000,25.300,1044.0000,54.604462
38.000,25.300,1046.0000,53.382900
38.000,25.300,1048.0000,52.307692
38.000,25.300,1050.0000,51.356467
38.000,25.300,1052.0000,50.510949
38.000,25.300,1054.0000,49.756098
38.000,25.300,1056.0000,49.079445
38.000,25.300,1058.0000,48.470588
38.000,25.300,1060.0000,47.920792
38.000,25.300,1062.0000,47.422680
38.000,25.300,1064.0000,46.969990
38.000,25.300,1066.0000,46.557377
38.000,25.300,1068.0000,46.180258
38.000,25.300,1070.0000,45.834684
38.000,25.300,1072.0000,45.517241
38.000,25.300,1074.0000,45.224964
38.000,25.300,1076.0000,44.955265
38.000,25.300,1078.0000,44.705882
38.000,25.300,1080.0000,44.474829
38.000,25.300,1082.0000,44.260355
38.000,25.300,1084.0000,44.060914
38.000,25.300,1086.0000,43.875135
38.000,25.300,1088.0000,43.701799
38.000,25.300,1090.0000,43.539823
38.000,25.300,1092.0000,43.388235
38.000,25.300,1094.0000,43.246168
38.000,25.300,1096.0000,43.112840
38.000,25.300,1098.0000,42.987552
38.000,25.300,1100.0000,42.869669
37.800,25.400,900.0000,43.084894
37.800,25.400,902.0000,43.211618
37.800,25.400,904.0000,43.346304
37.800,25.400,906.0000,43.489630
37.800,25.400,908.0000,43.642353
37.800,25.400,910.0000,43.805310
37.800,25.400,912.0000,43.979434
37.800,25.400,914.0000,44.165770
37.800,25.400,916.0000,44.365482
37.800,25.400,918.0000,44.579882
37.800,25.400,920.0000,44.810441
37.800,25.400,922.0000,45.058824
37.800,25.400,924.0000,45.326910
37.800,25.400,926.0000,45.616836
37.800,25.400,928.0000,45.931034
37.800,25.400,930.0000,46.272285
37.800,25.400,932.0000,46.643777
37.800,25.400,934.0000,47.049180
37.800,25.400,936.0000,47.492740
37.800,25.400,938.0000,47.979381
37.800,25.400,940.0000,48.514851
37.800,25.400,942.0000,49.105882
37.800,25.400,944.0000,49.760404
37.800,25.400,946.0000,50.487805
37.800,25.400,948.0000,51.299270
37.800,25.400,950.0000,52.208202
37.800,25.400,952.0000,53.230769
37.800,25.400,954.0000,54.386617
37.800,25.400,956.0000,55.699797
37.800,25.400,958.0000,57.200000
37.800,25.400,960.0000,58.924205
37.800,25.400,962.0000,60.918919
37.800,25.400,964.0000,63.243243
37.800,25.400,966.0000,65.973154
37.800,25.400,968.0000,69.207547
37.800,25.400,970.0000,73.076923
37.800,25.400,972.0000,77.756098
37.800,25.400,974.0000,83.483146
37.800,25.400,976.0000,90.588235
37.800,25.400,978.0000,99.538462
37.800,25.400,980.0000,111.009174
37.800,25.400,982.0000,126.000000
37.800,25.400,984.0000,146.027397
37.800,25.400,986.0000,173.448276
37.800,25.400,988.0000,212.000000
37.800,25.400,990.0000,267.647059
37.800,25.400,992.0000,349.600000
37.800,25.400,994.0000,470.000000
37.800,25.400,996.0000,635.384615
37.800,25.400,998.0000,814.000000
37.800,25.400,1000.0000,900.000000
37.800,25.400,1002.0000,814.000000
37.800,25.400,1004.0000,635.384615
37.800,25.400,1006.0000,470.000000
37.800,25.400,1008.0000,349.600000
37.800,25.400,1010.0000,267.647059
37.800,25.400,1012.0000,212.000000
37.800,25.400,1014.0000,173.448276
37.800,25.400,1016.0000,146.027397
37.800,25.400,1018.0000,126.000000
37.800,25.400,1020.0000,111.009174
37.800,25.400,1022.0000,99.538462
37.800,25.400,1024.0000,90.588235
37.800,25.400,1026.0000,83.483146
37.800,25.400,1028.0000,77.756098
37.800,25.400,1030.0000,73.076923
37.800,25.400,1032.0000,69.207547
37.800,25.400,1034.0000,65.973154
37.800,25.400,1036.0000,63.243243
37.800,25.400,1038.0000,60.918919
37.800,25.400,1040.0000,58.924205
37.800,25.400,1042.0000,57.200000
37.800,25.400,1044.0000,55.699797
37.800,25.400,1046.0000,54.386617
37.800,25.400,1048.0000,53.230769
37.800,25.400,1050.0000,52.208202
37.800,25.400,1052.0000,51.299270
37.800,25.400,1054.0000,50.487805
37.800,25.400,1056.0000,49.760404
37.800,25.400,1058.0000,49.105882
37.800,25.400,1060.0000,48.514851
37.800,25.400,1062.0000,47.979381
37.800,25.400,1064.0000,47.492740
37.800,25.400,1066.0000,47.049180
37.800,25.400,1068.0000,46.643777
37.800,25.400,1070.0000,46.272285
37.800,25.400,1072.0000,45.931034
37.800,25.400,1074.0000,45.616836
37.800,25.400,1076.0000,45.326910
37.800,25.400,1078.0000,45.058824
37.800,25.400,1080.0000,44.810441
37.800,25.400,1082.0000,44.579882
37.800,25.400,1084.0000,44.365482
37.800,25.400,1086.0000,44.165770
37.800,25.400,1088.0000,43.979434
37.800,25.400,1090.0000,43.805310
37.800,25.400,1092.0000,43.642353
37.800,25.400,1094.0000,43.489630
37.800,25.400,1096.0000,43.346304
37.800,25.400,1098.0000,43.211618
37.800,25.400,1100.0000,43.084894
37.900,25.400,900.0000,43.300120
37.900,25.400,902.0000,43.435685
37.900,25.400,904.0000,43.579767
37.900,25.400,906.0000,43.733093
37.900,25.400,908.0000,43.896471
37.900,25.400,910.0000,44.070796
37.900,25.400,912.0000,44.257069
37.900,25.400,914.0000,44.456405
37.900,25.400,916.0000,44.670051
37.900,25.400,918.0000,44.899408
37.900,25.400,920.0000,45.146053
37.900,25.400,922.0000,45.411765
37.900,25.400,924.0000,45.698555
37.900,25.400,926.0000,46.008708
37.900,25.400,928.0000,46.344828
37.900,25.400,930.0000,46.709887
37.900,25.400,932.0000,47.107296
37.900,25.400,934.0000,47.540984
37.900,25.400,936.0000,48.015489
37.900,25.400,938.0000,48.536082
37.900,25.400,940.0000,49.108911
37.900,25.400,942.0000,49.741176
37.900,25.400,944.0000,50.441362
37.900,25.400,946.0000,51.219512
37.900,25.400,948.0000,52.087591
37.900,25.400,950.0000,53.059937
37.900,25.400,952.0000,54.153846
37.900,25.400,954.0000,55.390335
37.900,25.400,956.0000,56.795132
37.900,25.400,958.0000,58.400000
37.900,25.400,960.0000,60.244499
37.900,25.400,962.0000,62.378378
37.900,25.400,964.0000,64.864865
37.900,25.400,966.0000,67.785235
37.900,25.400,968.0000,71.245283
37.900,25.400,970.0000,75.384615
37.900,25.400,972.0000,80.390244
37.900,25.400,974.0000,86.516854
37.900,25.400,976.0000,94.117647
37.900,25.400,978.0000,103.692308
37.900,25.400,980.0000,115.963303
37.900,25.400,982.0000,132.000000
37.900,25.400,984.0000,153.424658
37.900,25.400,986.0000,182.758621
37.900,25.400,988.0000,224.000000
37.900,25.400,990.0000,283.529412
37.900,25.400,992.0000,371.200000
37.900,25.400,994.0000,500.000000
