raman_shift_cm-1,PS_01,PS_02,PS_03,PET_01,PET_02,PMMA_01,PMMA_02,CAL_01,CAL_02,ARA_01,ARA_02,SI_01,XA_01,XB_01
137.1457,715.6449,1153.7109,105.1707,655.2541,-375.1854,370.1323,688.3275,264.0426,637.5298,900.6448,857.8572,472.8186,-163.6959,149.4255
139.0029,648.085,427.9782,13.3369,545.2681,668.6962,279.1731,655.7761,693.3234,792.1024,520.8161,938.0595,79.3163,-559.9277,1155.2529
140.8602,-424.6162,-102.2991,61.5054,178.8959,14.3745,724.6577,314.4655,900.1007,1391.6307,563.4988,846.7432,-346.5493,-8.3224,172.0092
142.7175,686.1351,639.2205,1190.6845,-45.0139,332.2551,-15.6622,359.4999,491.8094,972.8919,886.425,2063.8966,63.2182,723.1588,256.1681
144.5748,-83.5769,807.9639,-168.2445,-54.6114,285.2211,-37.8779,293.2738,766.1566,879.6694,1758.3022,1762.6278,-458.4736,670.8766,751.6932
146.4321,502.5951,665.0275,797.3992,-215.6811,426.9912,856.7049,-139.8249,1107.6826,1044.9954,2802.0503,2003.9428,191.1522,-119.721,787.8327
148.2893,313.9613,395.4603,857.3762,149.3307,867.3303,621.1854,-190.3065,1578.3283,1464.6959,4266.3686,4709.6586,477.2983,496.0329,515.7842
150.1466,200.6161,-647.6984,322.5469,905.2526,180.106,-96.9742,163.4184,2831.4498,2090.9734,8506.5386,7519.2106,223.5166,330.8254,-279.0729
152.0039,171.085,78.4913,-160.1032,-334.4491,137.6658,455.1674,179.9488,4900.7565,4002.2645,11224.1738,11206.3081,1445.6422,286.6802,98.2155
153.8612,694.1994,-64.2438,-275.3088,669.9346,901.6219,691.6334,549.3173,6300.237,7791.1406,7745.7416,7629.672,452.814,-273.1448,812.3326
155.7185,-678.1486,343.7495,-84.1052,303.8893,1088.0857,-663.594,415.8568,8069.8601,7355.9423,4296.8007,3980.6474,817.6339,481.5667,-43.3957
157.5758,553.605,539.0985,479.8581,-39.9752,776.2965,699.1649,-278.5037,4936.0,4785.8696,2689.0406,2811.6303,673.3753,850.2154,843.5696
159.433,105.2533,-376.3611,758.5982,45.8165,152.3152,204.7571,700.8807,2787.2761,3043.4543,2293.8178,1594.8523,-213.0434,128.6038,835.5404
161.2903,53.092,381.396,569.4051,827.6168,92.1017,-298.9771,81.2158,2343.68,1944.2961,1165.7545,1400.894,-207.5881,-623.5641,-382.7362
163.1476,298.8242,-22.6345,91.3115,315.6263,-180.2817,456.4017,-298.8881,840.9923,1289.3749,1497.2567,916.6761,125.5783,760.4133,219.0332
165.0049,52.378,798.1816,91.9504,-226.017,267.8171,240.3613,625.0297,1417.0979,1129.1876,1217.8252,1866.4166,333.7497,399.8186,86.9857
166.8622,442.2203,-144.5774,483.68,950.1335,718.413,-212.3358,-45.2171,1226.8396,151.1453,980.6756,837.4601,415.334,153.8513,-10.2041
168.7195,-49.617,64.5801,-140.113,-252.8319,-383.0431,36.8123,493.7535,-190.9734,1835.6895,719.3609,602.1462,292.2809,-21.5429,462.8633
170.5767,609.3137,-109.2543,795.464,877.0326,793.5925,1007.9208,395.2732,673.8862,671.6788,119.2563,973.1984,-299.9097,590.7132,681.0919
172.434,155.8458,460.7393,420.4148,1141.8728,125.2768,-456.9282,730.6632,966.4341,1294.0196,1013.7307,363.5069,493.7311,302.1713,247.4236
174.2913,-288.8552,-235.4251,484.1687,72.9293,46.7066,367.2012,629.9649,479.4393,27.8345,334.068,731.0979,-702.2191,149.4893,1234.2747
176.1486,1158.0406,389.0218,241.5429,327.2035,519.7633,322.0093,-29.8359,688.9722,1314.4322,206.9815,621.6539,-70.6509,-285.8379,1204.6739
178.0059,-249.1672,456.3796,-153.3608,230.2683,623.8335,409.3735,29.1748,119.9393,767.4647,365.3732,696.6997,-41.9453,3.8645,326.6581
179.8631,269.4278,-307.6154,-185.2777,430.5157,819.7552,-363.9735,791.9809,167.8991,34.6268,639.0768,756.2115,1162.7349,105.852,239.1501
181.7204,-324.6645,412.6876,473.7998,-842.7874,151.5255,-40.0655,1200.9106,179.075,787.9645,300.4131,570.6893,-14.4181,140.5914,408.2007
183.5777,199.4896,-216.8834,464.6404,11.6802,31.7567,698.1957,196.3734,639.5333,813.8856,1044.1772,740.6655,389.9633,223.5264,-128.3216
185.435,627.1798,452.8681,773.2155,311.1216,-185.0483,120.9096,301.1612,504.7849,294.9431,1374.0574,280.4986,-236.5898,337.3054,777.6541
187.2923,485.6119,593.8747,245.197,312.8328,990.0642,337.8477,-390.2367,-213.4342,523.3744,519.7442,709.9342,357.3435,592.7768,327.7197
189.1496,-5.1817,523.7021,418.6968,775.7003,-56.5011,644.8257,225.9856,275.2054,438.6702,1088.1498,693.4434,583.8844,469.6393,330.2509
191.0068,817.3503,787.0022,376.9791,-64.9289,989.9635,1076.8216,693.6251,355.9524,449.3181,85.5474,732.0046,81.6963,389.1724,637.055
192.8641,565.3056,128.8641,335.5301,-836.7856,704.5513,577.547,414.6661,253.4689,482.7424,177.4126,856.6067,371.8281,86.4109,1072.9974
194.7214,-15.071,-180.1103,145.3621,-3.6659,-298.4467,-156.6964,-174.8601,534.3296,624.5616,1149.0614,1131.9906,495.1555,488.0386,346.3342
196.5787,354.0384,-386.3011,48.3856,173.2627,307.0746,663.3431,-48.6146,-247.183,419.9074,1410.041,1209.4244,186.2932,-446.2846,462.4376
198.436,183.3678,-94.0652,629.6341,812.8895,567.0779,341.9178,442.661,86.9747,-128.1462,2341.7734,1714.3829,-74.8444,395.8742,-70.6677
200.2933,-323.967,138.6107,233.9312,485.6861,862.3796,986.1957,659.1046,394.9641,816.0173,3018.9847,3278.834,170.9718,590.6189,122.4089
202.1505,631.9609,-692.8348,230.202,-421.3427,-607.51,338.3625,254.0145,536.1237,160.6298,4891.9503,4926.8139,841.8926,17.5857,994.5756
204.0078,587.3814,-135.0427,630.3692,-232.7327,-175.2303,407.3808,-723.228,1081.4457,337.022,9765.5671,9445.9466,65.0261,189.0551,-114.8609
205.8651,399.4737,21.6818,-63.7332,302.5969,1075.8106,-85.8959,468.4042,543.8664,289.3706,13779.9397,13439.3261,584.4511,525.7576,201.5424
207.7224,-137.8401,538.959,-821.2265,441.2612,-505.1252,357.8974,-665.8878,437.7488,148.1179,10401.6114,9899.9609,377.6316,1314.5481,660.3785
209.5797,154.5927,-103.3306,602.8826,19.1671,85.379,-347.3963,425.6151,167.473,272.9451,5669.4759,6067.2199,274.4286,161.9009,204.8096
211.437,553.0741,1048.5713,210.8224,335.4868,633.6299,-309.3118,468.0527,963.9706,784.1957,2948.3257,3592.8012,252.1303,559.3329,-167.0181
213.2942,-115.7579,227.3986,804.7307,264.4663,817.9808,-435.8252,625.1467,1252.3044,1378.089,2525.9193,2203.6295,248.778,385.8924,214.325
215.1515,596.4783,80.0495,797.3683,320.7331,710.4293,-635.4296,104.3981,233.5552,1074.7019,2432.5498,738.3323,-205.5488,142.4025,960.7735
217.0088,458.1928,558.296,714.8558,294.6563,-25.8207,765.5857,121.2674,972.5208,359.3186,1179.2624,685.5074,390.4453,225.6898,519.5526
218.8661,122.7179,-524.0951,634.694,739.3971,597.8186,499.6142,797.0398,944.3576,684.6268,1100.8757,1361.9886,-75.1013,255.3191,-88.0171
220.7234,379.1653,-154.2015,347.4178,698.3533,274.1462,331.6481,1015.281,505.0598,692.8849,964.8398,1505.329,-340.764,-225.1062,-35.8512
222.5806,718.9716,-535.5726,-255.7669,52.846,-309.0808,66.8175,1251.0959,242.8363,957.066,903.3185,476.4487,1455.4143,706.6986,728.8459
224.4379,26.6984,522.4693,-309.2855,-257.2497,943.0038,517.0648,-735.391,108.3014,221.0239,149.4267,664.4202,392.933,1093.609,-137.1921
226.2952,741.7417,448.6504,-208.2023,203.2725,-110.3242,19.1095,-262.5571,314.2414,712.6615,119.7288,559.382,607.1874,605.0068,-52.9904
228.1525,586.1037,241.5299,590.5451,1428.6371,314.4039,446.8875,273.3918,103.0855,-727.3559,-194.3798,886.1878,-304.0578,50.4994,299.0772
230.0098,469.294,220.7888,-33.0199,685.8475,-667.0112,896.4752,958.9585,428.7623,599.8333,225.1675,761.8623,119.8347,246.7418,384.3228
231.8671,399.4365,489.4646,678.8316,306.2839,270.1752,284.4986,616.0368,503.2102,342.8219,765.034,708.7264,261.1527,-878.8238,514.7001
233.7243,204.4443,874.5483,560.3215,483.7061,-438.4923,844.5853,719.793,822.8976,720.3793,532.3558,641.2033,583.0225,222.877,1216.9284
235.5816,175.0077,180.5015,-642.1352,634.1663,279.9605,567.5596,249.8897,838.3914,443.7205,610.1866,509.7208,758.4529,-48.8916,924.3464
237.4389,-87.4867,555.4357,-666.5358,1134.6013,-382.0604,125.2012,405.9397,1035.4231,691.1208,191.2062,912.2188,170.6301,190.4351,737.1119
239.2962,-89.3244,29.3287,656.4182,1500.2412,168.5634,244.7663,76.1341,586.3523,249.1374,-387.5126,1220.2823,294.7942,583.6921,560.1368
241.1535,571.9345,369.2594,807.4318,-533.6882,681.3367,286.5273,137.4026,503.6216,739.0456,569.1136,-341.0462,656.5957,214.8556,727.4094
243.0108,523.5773,774.3019,835.8397,624.9006,573.7724,212.8462,740.9793,1276.1046,279.6842,1037.2604,534.7449,23.7176,312.9215,40.1338
244.868,674.3347,845.3929,369.6269,649.4078,-148.6662,518.5483,343.0231,746.4671,682.623,391.3944,112.1997,790.8345,413.8853,345.1608
246.7253,854.4961,-138.1079,62.3962,217.2778,274.0503,58.5968,681.1576,626.3436,-80.8248,-359.6691,758.8299,364.2316,595.8835,1267.9281
248.5826,540.0051,244.7035,371.7822,754.2051,610.6586,101.3129,354.041,1030.2277,641.5599,865.5307,19.2458,-17.9318,428.8528,222.041
250.4399,183.4958,588.94,538.586,279.1801,-75.8875,814.8419,1405.8498,149.5924,564.3672,959.5801,210.5397,-263.0108,725.1724,-363.0298
252.2972,-22.8294,219.4764,1078.167,-6.4063,359.2891,45.4703,62.2086,1014.8608,1287.187,285.7746,605.1156,208.4509,528.153,845.2041
254.1544,-111.1604,67.1119,561.765,659.8022,275.3916,987.0215,54.6629,782.0379,775.5992,412.1408,-142.1279,225.2848,1102.7093,568.862
256.0117,-315.1347,-195.3217,1449.7511,790.5149,-253.0924,639.6474,423.0729,351.9334,855.9638,1799.5044,270.1578,1004.4065,-61.9334,-664.0708
257.869,536.2196,702.6311,-519.871,229.4339,939.7064,553.0721,-475.9265,654.6313,-158.3328,629.9554,258.3573,538.3302,702.6744,-90.9869
259.7263,260.4656,-254.0037,75.4843,352.0643,69.344,-410.8098,621.1535,763.0002,-65.96,560.7805,-51.5743,148.2531,379.9698,-164.7612
261.5836,419.0436,95.7094,-9.6628,549.0577,294.3871,176.4811,-18.2597,920.5266,315.4967,838.8387,176.1354,309.996,483.3691,-46.9168
263.4409,-47.0287,466.2721,576.801,290.267,-104.9795,-319.847,200.7327,897.6044,87.6619,-45.4958,-49.5153,107.9832,152.6038,680.5315
265.2981,112.8386,330.828,556.0127,357.9411,-112.7396,115.6292,197.7193,290.2115,1247.849,340.5094,-164.4039,549.4742,357.2728,316.3201
267.1554,194.5884,522.9354,80.2551,981.3988,175.3211,992.8447,-33.0713,1338.96,1201.414,67.6344,-23.8798,585.0092,350.1455,395.151
269.0127,246.1839,679.4463,970.3583,533.8295,180.6975,1120.0718,690.6728,1216.0045,1018.9189,515.9659,955.6687,-99.6539,219.7328,682.0427
270.87,525.9369,416.391,-112.5203,625.3379,20.1812,314.5361,939.4185,1907.3895,2011.3741,326.4734,336.1262,633.536,707.2176,-317.3207
272.7273,596.2883,388.804,-446.3728,85.2886,900.8974,237.3599,-188.2511,2438.5494,2894.877,311.1298,653.9942,123.7365,279.4705,477.9358
274.5846,742.2996,-80.7768,-69.2041,260.7272,373.93,398.1341,504.9211,3400.6765,3320.1509,79.255,510.5654,770.0505,240.8427,504.4776
276.4418,-41.3101,45.199,-459.8241,991.4996,196.5067,535.6853,602.2598,5137.6864,4680.4532,488.009,1049.949,-225.2426,135.2805,915.6977
278.2991,-14.1365,-211.7879,553.2986,-311.8061,653.581,-63.0541,870.1613,8312.657,8818.276,-230.284,-59.6189,396.3673,267.1108,825.1936
280.1564,-311.1311,922.8501,1392.3232,434.2616,483.9759,843.3822,-149.206,13350.6605,12894.9296,629.4424,718.6425,-282.5097,745.9734,434.7504
282.0137,158.4187,53.1226,1100.4512,838.7369,572.5293,562.9034,-472.1912,16790.0423,15990.4125,-89.5789,517.7309,545.1211,-237.5757,270.2026
283.871,228.9959,497.2405,-31.8791,133.3521,168.4995,-493.1169,18.6344,12719.4187,13178.5453,458.0617,899.7716,703.6241,402.2299,356.5852
285.7283,370.1935,78.5842,-77.3993,76.2133,556.6027,579.9466,314.445,8037.6435,7723.9976,-16.1348,-38.9373,230.9773,358.6467,163.8022
287.5855,38.8969,1338.4177,571.3977,496.4951,-73.0584,-657.9065,243.7633,4758.7769,4789.969,-106.7081,846.5604,512.3552,200.8706,647.1865
289.4428,464.1004,920.5514,255.7074,20.849,617.3361,172.0855,-378.3236,2153.0509,3129.1626,528.0009,644.2872,47.9941,500.3869,1619.329
291.3001,-563.9754,177.3394,213.0457,134.7049,743.9751,223.437,557.6664,2656.4356,2021.7147,543.5001,795.4799,45.1315,356.7346,559.2525
293.1574,169.1823,-351.4168,64.1672,8.2127,-402.5271,-3.1137,420.2927,614.5126,2090.5621,247.3001,200.5598,750.2676,82.9955,337.5976
295.0147,518.5812,330.2338,423.7447,154.9602,-155.8893,597.2468,-4.8027,1987.0696,1298.7953,80.9935,207.4867,366.0179,748.9748,514.2834
296.8719,53.4928,609.9103,302.6574,341.382,-229.4072,345.6608,409.0156,878.0055,772.7759,-11.1248,29.357,695.5647,376.6436,-113.48
298.7292,-368.3594,-186.9027,85.0185,-222.2851,322.7496,-86.8299,-650.6032,1229.5842,659.3317,397.493,-215.2226,918.458,1155.3156,422.0587
300.5865,314.1272,450.3271,1203.3452,527.7525,391.283,205.2701,102.2068,1160.0355,988.1701,41.1065,19.491,356.0827,659.5133,1079.3739
302.4438,-755.0522,194.8025,332.7921,935.3699,287.4546,673.5746,751.0917,541.1219,1160.3775,-114.4718,98.2382,400.3814,-28.7866,1094.6554
304.3011,178.5367,-10.407,298.858,-723.6684,133.3448,272.1034,284.9239,1048.3743,34.3305,459.1481,122.2323,1152.1564,91.8569,653.566
306.1584,594.1204,-19.4356,183.4793,393.637,334.257,-406.7369,376.8216,397.0458,563.9225,433.9404,373.1105,269.4292,519.8306,531.778
308.0156,645.6713,647.2388,129.5886,312.4109,252.6439,-234.489,195.34,737.9897,555.4516,472.2835,-31.5719,939.2632,452.2386,-340.2791
309.8729,-505.0621,74.0271,851.5957,359.9534,-301.8399,46.7123,52.8472,621.98,390.6734,157.9821,486.155,-64.1489,591.6525,727.8974
311.7302,149.384,926.0108,150.9818,358.2092,-205.3694,-81.2186,848.5235,923.5655,773.2983,650.3977,541.3983,444.5921,486.0034,307.0979
313.5875,954.4407,795.3276,276.601,185.5255,-3.9478,642.5412,206.3159,-291.8159,12.8051,-151.0019,57.036,-719.619,174.5151,412.867
315.4448,273.3655,371.2103,127.1107,618.5559,-515.9495,505.4893,-36.8783,485.4444,31.8134,-625.9934,-28.7607,334.9772,-70.6394,1135.4731
317.3021,719.1581,350.6958,329.418,225.139,671.434,801.716,201.822,414.4175,30.7295,243.3687,132.7978,719.0232,826.1841,413.1488
319.1593,360.3803,341.5875,440.4376,75.8253,997.465,-25.148,-62.3047,238.7263,-154.8568,130.3559,-35.7354,69.6226,34.3877,1398.4479
321.0166,198.4546,-566.2644,743.1907,265.7036,363.1309,552.4059,-470.6963,679.8434,860.4384,-75.9386,376.9831,-235.1455,570.2771,690.3011
322.8739,136.8635,-31.6584,424.0127,682.7423,466.9907,703.7007,822.634,428.2252,463.3941,-355.0383,302.9158,983.592,477.2772,585.4787
324.7312,216.3114,-275.7497,295.2094,-487.0099,29.2688,81.1872,330.7786,426.6254,606.4176,1231.7815,428.6955,182.2913,-365.9406,562.2029
326.5885,337.7215,599.7914,108.6999,68.4946,-128.3572,-417.6783,182.2119,581.7738,610.0225,848.4467,495.4942,-464.3476,458.4752,1683.8516
328.4457,-491.19,-250.1355,-105.1793,155.0767,-5.1727,-308.1975,250.6647,277.6539,77.3108,564.4639,946.956,-534.9473,961.9679,1802.1131
330.303,555.7295,9.107,-37.4956,1038.4474,1093.6212,409.2256,-251.1745,821.6391,-192.4245,638.7135,386.4254,-76.2133,197.9394,1445.8268
332.1603,321.6207,70.6707,397.5186,-284.9838,446.3905,788.9732,409.1425,507.295,535.1119,489.8654,345.1146,-521.487,479.932,2271.6152
334.0176,1.4033,807.0773,-29.765,624.2828,315.3368,544.2351,788.8461,-311.7268,1118.6526,-140.0147,723.5196,597.3727,249.8284,2274.3277
335.8749,672.9891,-753.1363,553.7318,530.8951,698.8189,528.3354,403.5883,-57.4589,684.6651,-30.7101,1220.2822,156.8595,-24.7208,3034.772
337.7322,47.264,37.4182,1379.6166,580.4052,-368.3307,414.499,93.3634,723.2647,368.4782,201.1171,1295.2348,606.1038,-90.8776,3747.9835
339.5894,532.918,542.4349,742.5161,787.1021,-209.8059,-681.2008,-36.5768,1037.2631,158.5755,1097.1468,-129.7088,515.2863,460.0498,4875.0139
341.4467,255.2956,505.5687,574.6604,-529.9367,-5.8463,676.2165,583.6786,1447.9982,160.2553,-27.3172,307.8845,813.041,474.0377,6920.3203
343.304,838.3812,950.186,254.7685,525.5895,693.1235,392.2387,393.2947,-335.255,-60.568,-166.1903,608.8301,31.4984,588.528,8755.559
345.1613,375.5186,536.4551,22.0237,713.1126,-81.6516,237.0413,-54.5496,410.4485,369.0244,301.0287,15.1749,-248.6984,731.1485,13258.4328
347.0186,1172.3447,9.7763,492.8098,341.1953,400.3493,346.4752,-394.4303,-494.982,522.6502,519.2252,294.2055,65.094,1125.5132,18230.2993
348.8759,127.8048,-390.1531,758.4425,315.2224,-406.1184,304.5127,684.7077,434.9425,-56.2402,271.2178,475.5774,705.7749,33.6964,23791.5045
350.7331,460.5046,401.7229,533.6272,-212.0482,-302.1459,603.3216,480.2005,-677.5738,331.4132,49.692,786.1509,-72.6563,281.6654,24602.9236
352.5904,-546.8105,211.6215,-362.299,-187.0733,-160.2458,698.899,1152.0561,315.7212,-99.6501,86.1323,385.8931,-38.3307,922.9574,20014.999
354.4477,511.0232,-70.6529,111.5331,-51.3298,753.9993,227.0145,841.7275,98.9538,746.9763,346.218,1034.2737,329.8119,419.2647,14511.6694
356.305,608.8065,-599.6089,294.0265,375.7067,625.726,365.0371,-69.9705,454.6139,251.6665,315.7711,596.9809,269.8573,-159.5448,9857.9757
358.1623,746.1211,439.4447,506.1797,435.3541,-460.223,457.3578,788.4121,-650.7597,614.0679,176.9203,62.4166,1027.725,538.2786,6536.1295
360.0196,412.7284,337.1236,638.6247,564.6174,95.1917,232.4634,295.6351,107.5336,-68.1838,447.2628,441.0067,-211.8627,729.0547,5286.0939
361.8768,719.5505,32.7028,461.9237,-149.115,200.283,1047.1777,964.4729,-324.9927,164.1539,143.3574,370.2335,-445.2427,1098.5545,4094.9315
363.7341,244.2659,122.792,687.2311,-28.982,186.6887,-18.692,136.3186,931.2296,1397.2316,100.7435,73.4651,722.8043,740.1006,3886.319
365.5914,-378.1589,847.5001,727.6475,222.1731,-204.1284,707.7421,797.9759,857.508,1019.3174,352.1,163.0707,262.1446,66.1176,2899.0732
367.4487,465.4891,-83.3452,349.4017,-193.7597,400.8585,1093.5522,646.7667,-143.0949,332.0058,617.3157,248.371,636.6908,970.6387,1965.3154
369.306,224.9647,-472.1884,523.3808,223.9698,-989.4213,-43.7342,412.5747,424.4979,102.027,113.5619,316.2727,-372.0962,294.4542,1646.6339
371.1632,479.6073,111.4961,606.8089,274.2993,784.5453,203.2197,-2.8911,206.6671,69.6826,-490.1288,788.401,748.4136,165.5099,1640.9789
373.0205,756.9354,-228.3012,512.0246,678.558,-97.232,195.3469,774.428,729.6708,405.895,497.9733,118.0081,24.569,-441.6867,2185.0454
374.8778,367.1436,349.6123,412.028,656.1008,62.7649,152.3549,574.4486,168.5527,237.1294,432.0985,-10.589,536.3423,280.136,1198.8253
376.7351,-61.9997,-115.6751,-40.6239,105.2565,-120.8148,522.0962,-151.5459,504.5761,214.1674,436.1044,361.93,734.4134,293.0446,1132.5182
378.5924,191.3861,580.8404,1347.2827,22.6424,395.9103,-165.7083,331.0809,361.2248,57.3559,453.9694,56.5897,219.1339,-42.3732,616.7383
380.4497,304.0209,-438.7187,815.6997,606.8076,62.1066,579.7042,141.9058,267.0897,151.6702,430.0086,328.0511,538.2908,46.5901,1450.776
382.3069,539.8525,252.6441,-84.0855,804.4367,129.3909,1186.506,285.772,1128.0311,658.4071,755.8094,420.6634,761.2995,278.7598,974.1725
384.1642,-306.6727,857.4007,940.1955,-273.1773,756.3134,189.9578,598.6997,218.7805,131.9826,-13.3644,420.0177,221.2392,139.548,866.0868
386.0215,-238.1394,326.6109,169.5161,214.3858,175.3914,935.9383,378.1374,-220.5649,254.8219,675.335,-274.3269,815.0192,-68.9443,127.2719
387.8788,525.4738,-124.9578,-494.4176,569.0434,270.0612,393.3751,-239.5577,-298.0752,-384.0813,914.9189,405.3401,586.5361,399.1422,996.5534
389.7361,268.5201,18.3151,218.0434,77.1697,171.5952,-238.1854,338.7465,738.4818,-176.4308,428.2862,-2.0001,253.515,754.9356,853.7316
391.5934,26.4637,509.0867,563.7794,1131.2156,284.4586,202.749,459.8537,462.5169,115.0339,523.3948,-98.7173,1141.1713,1353.5371,163.7273
393.4506,298.4533,-349.8484,-470.264,-172.799,436.2039,640.7599,31.5833,-527.5282,109.9556,835.4807,668.4233,366.0547,980.051,297.0226
395.3079,74.9388,189.063,-170.4976,330.5285,197.548,731.7863,168.2283,-99.9726,120.3758,-142.134,805.1564,623.1113,1120.2189,145.7096
397.1652,-182.6653,-21.7993,414.8766,601.7312,279.8861,78.8645,195.5767,208.1015,652.9535,1298.7412,239.5528,179.5973,230.7538,886.9233
399.0225,218.3341,-531.7458,269.2475,327.2511,601.1875,899.1809,276.2365,194.1822,211.5942,198.2355,332.5769,959.6782,1179.374,1303.3784
400.8798,990.2162,662.6308,72.4205,118.988,643.0445,439.2115,836.087,-643.5892,925.2838,739.623,315.8589,-37.3858,969.2629,413.1617
402.737,-127.9448,460.2865,-530.0702,641.314,448.989,-178.0071,-528.7147,143.0867,629.5256,-454.2686,1014.851,-119.4779,906.7091,554.9116
404.5943,249.1887,-395.2419,34.2234,-318.7297,240.2971,408.8408,732.8901,520.3634,741.2832,89.9322,1143.8457,146.3088,1678.5913,330.0292
406.4516,382.9599,601.865,784.9898,732.753,359.0052,-361.8929,626.7283,459.4713,-256.8079,37.3387,402.3898,491.5797,1573.776,182.0984
408.3089,-234.6425,-446.3706,376.2279,209.9912,303.7058,337.9824,427.4599,791.3894,202.7777,849.0966,-976.1474,49.8869,1308.459,12.3361
410.1662,659.6202,898.9983,100.9345,474.5932,533.4857,-445.9862,199.0793,549.5613,798.8713,322.4677,-281.9782,369.4111,979.9854,987.6171
412.0235,107.3117,523.4682,529.5152,669.9833,710.9448,-129.4429,-40.3681,198.6078,335.4138,376.8874,-161.6474,884.9997,2106.7821,785.2564
413.8807,1453.3696,-479.0461,-378.6904,76.209,114.8239,431.4709,571.4834,429.2214,48.5134,153.7092,400.2438,872.0046,2493.4072,192.6397
415.738,670.5481,-546.3013,1264.178,1007.875,91.8324,228.1544,431.5378,471.0867,-438.1007,147.389,295.5835,1036.5427,2583.8806,1251.8489
417.5953,777.2257,1298.2524,437.7605,-363.0169,360.9153,324.8527,603.6215,270.4362,80.1299,-299.0228,621.5948,95.203,2945.4409,1378.2939
419.4526,714.0702,397.7884,627.0732,500.9972,968.121,754.8334,-768.7275,755.4694,-159.84,143.3384,185.1332,412.3525,4193.6938,1067.4241
421.3099,459.1243,862.6034,565.7065,467.3706,424.7224,700.3833,233.1415,581.3424,403.3383,740.9395,400.3162,449.1987,4893.3364,476.4284
423.1672,73.7665,869.5074,560.5031,549.6177,614.2791,340.604,384.0446,268.5249,708.834,723.8486,288.0363,405.9899,7300.7314,-83.3812
425.0244,-74.3858,-96.3732,81.6872,-25.5812,747.6118,-261.4328,-24.3488,269.7825,-8.0583,96.3689,484.6285,79.0536,10030.172,119.0973
426.8817,144.0178,955.8106,371.9805,-229.1051,349.9876,-477.1567,-407.2155,413.561,300.6013,795.1542,854.9887,-6.9732,15097.6487,104.0233
