raman_shift_cm-1,PS_01,PET_01,PMMA_01,CAL_01,ARA_01,SI_01,XA_01,XB_01
172.434,155.8458,1141.8728,-456.9282,966.4341,1013.7307,493.7311,302.1713,247.4236
174.2913,-288.8552,72.9293,367.2012,479.4393,334.068,-702.2191,149.4893,1234.2747
176.1486,1158.0406,327.2035,322.0093,688.9722,206.9815,-70.6509,-285.8379,1204.6739
178.0059,-249.1672,230.2683,409.3735,119.9393,365.3732,-41.9453,3.8645,326.6581
179.8631,269.4278,430.5157,-363.9735,167.8991,639.0768,1162.7349,105.852,239.1501
181.7204,-324.6645,-842.7874,-40.0655,179.075,300.4131,-14.4181,140.5914,408.2007
183.5777,199.4896,11.6802,698.1957,639.5333,1044.1772,389.9633,223.5264,-128.3216
185.435,627.1798,311.1216,120.9096,504.7849,1374.0574,-236.5898,337.3054,777.6541
187.2923,485.6119,312.8328,337.8477,-213.4342,519.7442,357.3435,592.7768,327.7197
189.1496,-5.1817,775.7003,644.8257,275.2054,1088.1498,583.8844,469.6393,330.2509
191.0068,817.3503,-64.9289,1076.8216,355.9524,85.5474,81.6963,389.1724,637.055
192.8641,565.3056,-836.7856,577.547,253.4689,177.4126,371.8281,86.4109,1072.9974
194.7214,-15.071,-3.6659,-156.6964,534.3296,1149.0614,495.1555,488.0386,346.3342
196.5787,354.0384,173.2627,663.3431,-247.183,1410.041,186.2932,-446.2846,462.4376
198.436,183.3678,812.8895,341.9178,86.9747,2341.7734,-74.8444,395.8742,-70.6677
200.2933,-323.967,485.6861,986.1957,394.9641,3018.9847,170.9718,590.6189,122.4089
202.1505,631.9609,-421.3427,338.3625,536.1237,4891.9503,841.8926,17.5857,994.5756
204.0078,587.3814,-232.7327,407.3808,1081.4457,9765.5671,65.0261,189.0551,-114.8609
205.8651,399.4737,302.5969,-85.8959,543.8664,13779.9397,584.4511,525.7576,201.5424
207.7224,-137.8401,441.2612,357.8974,437.7488,10401.6114,377.6316,1314.5481,660.3785
209.5797,154.5927,19.1671,-347.3963,167.473,5669.4759,274.4286,161.9009,204.8096
211.437,553.0741,335.4868,-309.3118,963.9706,2948.3257,252.1303,559.3329,-167.0181
213.2942,-115.7579,264.4663,-435.8252,1252.3044,2525.9193,248.778,385.8924,214.325
215.1515,596.4783,320.7331,-635.4296,233.5552,2432.5498,-205.5488,142.4025,960.7735
217.0088,458.1928,294.6563,765.5857,972.5208,1179.2624,390.4453,225.6898,519.5526
218.8661,122.7179,739.3971,499.6142,944.3576,1100.8757,-75.1013,255.3191,-88.0171
220.7234,379.1653,698.3533,331.6481,505.0598,964.8398,-340.764,-225.1062,-35.8512
222.5806,718.9716,52.846,66.8175,242.8363,903.3185,1455.4143,706.6986,728.8459
224.4379,26.6984,-257.2497,517.0648,108.3014,149.4267,392.933,1093.609,-137.1921
226.2952,741.7417,203.2725,19.1095,314.2414,119.7288,607.1874,605.0068,-52.9904
228.1525,586.1037,1428.6371,446.8875,103.0855,-194.3798,-304.0578,50.4994,299.0772
230.0098,469.294,685.8475,896.4752,428.7623,225.1675,119.8347,246.7418,384.3228
231.8671,399.4365,306.2839,284.4986,503.2102,765.034,261.1527,-878.8238,514.7001
233.7243,204.4443,483.7061,844.5853,822.8976,532.3558,583.0225,222.877,1216.9284
235.5816,175.0077,634.1663,567.5596,838.3914,610.1866,758.4529,-48.8916,924.3464
237.4389,-87.4867,1134.6013,125.2012,1035.4231,191.2062,170.6301,190.4351,737.1119
239.2962,-89.3244,1500.2412,244.7663,586.3523,-387.5126,294.7942,583.6921,560.1368
241.1535,571.9345,-533.6882,286.5273,503.6216,569.1136,656.5957,214.8556,727.4094
243.0108,523.5773,624.9006,212.8462,1276.1046,1037.2604,23.7176,312.9215,40.1338
244.868,674.3347,649.4078,518.5483,746.4671,391.3944,790.8345,413.8853,345.1608
246.7253,854.4961,217.2778,58.5968,626.3436,-359.6691,364.2316,595.8835,1267.9281
248.5826,540.0051,754.2051,101.3129,1030.2277,865.5307,-17.9318,428.8528,222.041
250.4399,183.4958,279.1801,814.8419,149.5924,959.5801,-263.0108,725.1724,-363.0298
252.2972,-22.8294,-6.4063,45.4703,1014.8608,285.7746,208.4509,528.153,845.2041
254.1544,-111.1604,659.8022,987.0215,782.0379,412.1408,225.2848,1102.7093,568.862
256.0117,-315.1347,790.5149,639.6474,351.9334,1799.5044,1004.4065,-61.9334,-664.0708
257.869,536.2196,229.4339,553.0721,654.6313,629.9554,538.3302,702.6744,-90.9869
259.7263,260.4656,352.0643,-410.8098,763.0002,560.7805,148.2531,379.9698,-164.7612
261.5836,419.0436,549.0577,176.4811,920.5266,838.8387,309.996,483.3691,-46.9168
263.4409,-47.0287,290.267,-319.847,897.6044,-45.4958,107.9832,152.6038,680.5315
265.2981,112.8386,357.9411,115.6292,290.2115,340.5094,549.4742,357.2728,316.3201
267.1554,194.5884,981.3988,992.8447,1338.96,67.6344,585.0092,350.1455,395.151
269.0127,246.1839,533.8295,1120.0718,1216.0045,515.9659,-99.6539,219.7328,682.0427
270.87,525.9369,625.3379,314.5361,1907.3895,326.4734,633.536,707.2176,-317.3207
272.7273,596.2883,85.2886,237.3599,2438.5494,311.1298,123.7365,279.4705,477.9358
274.5846,742.2996,260.7272,398.1341,3400.6765,79.255,770.0505,240.8427,504.4776
276.4418,-41.3101,991.4996,535.6853,5137.6864,488.009,-225.2426,135.2805,915.6977
278.2991,-14.1365,-311.8061,-63.0541,8312.657,-230.284,396.3673,267.1108,825.1936
280.1564,-311.1311,434.2616,843.3822,13350.6605,629.4424,-282.5097,745.9734,434.7504
282.0137,158.4187,838.7369,562.9034,16790.0423,-89.5789,545.1211,-237.5757,270.2026
283.871,228.9959,133.3521,-493.1169,12719.4187,458.0617,703.6241,402.2299,356.5852
285.7283,370.1935,76.2133,579.9466,8037.6435,-16.1348,230.9773,358.6467,163.8022
287.5855,38.8969,496.4951,-657.9065,4758.7769,-106.7081,512.3552,200.8706,647.1865
289.4428,464.1004,20.849,172.0855,2153.0509,528.0009,47.9941,500.3869,1619.329
291.3001,-563.9754,134.7049,223.437,2656.4356,543.5001,45.1315,356.7346,559.2525
293.1574,169.1823,8.2127,-3.1137,614.5126,247.3001,750.2676,82.9955,337.5976
295.0147,518.5812,154.9602,597.2468,1987.0696,80.9935,366.0179,748.9748,514.2834
296.8719,53.4928,341.382,345.6608,878.0055,-11.1248,695.5647,376.6436,-113.48
298.7292,-368.3594,-222.2851,-86.8299,1229.5842,397.493,918.458,1155.3156,422.0587
300.5865,314.1272,527.7525,205.2701,1160.0355,41.1065,356.0827,659.5133,1079.3739
302.4438,-755.0522,935.3699,673.5746,541.1219,-114.4718,400.3814,-28.7866,1094.6554
304.3011,178.5367,-723.6684,272.1034,1048.3743,459.1481,1152.1564,91.8569,653.566
306.1584,594.1204,393.637,-406.7369,397.0458,433.9404,269.4292,519.8306,531.778
308.0156,645.6713,312.4109,-234.489,737.9897,472.2835,939.2632,452.2386,-340.2791
309.8729,-505.0621,359.9534,46.7123,621.98,157.9821,-64.1489,591.6525,727.8974
311.7302,149.384,358.2092,-81.2186,923.5655,650.3977,444.5921,486.0034,307.0979
313.5875,954.4407,185.5255,642.5412,-291.8159,-151.0019,-719.619,174.5151,412.867
315.4448,273.3655,618.5559,505.4893,485.4444,-625.9934,334.9772,-70.6394,1135.4731
317.3021,719.1581,225.139,801.716,414.4175,243.3687,719.0232,826.1841,413.1488
319.1593,360.3803,75.8253,-25.148,238.7263,130.3559,69.6226,34.3877,1398.4479
321.0166,198.4546,265.7036,552.4059,679.8434,-75.9386,-235.1455,570.2771,690.3011
322.8739,136.8635,682.7423,703.7007,428.2252,-355.0383,983.592,477.2772,585.4787
324.7312,216.3114,-487.0099,81.1872,426.6254,1231.7815,182.2913,-365.9406,562.2029
326.5885,337.7215,68.4946,-417.6783,581.7738,848.4467,-464.3476,458.4752,1683.8516
328.4457,-491.19,155.0767,-308.1975,277.6539,564.4639,-534.9473,961.9679,1802.1131
330.303,555.7295,1038.4474,409.2256,821.6391,638.7135,-76.2133,197.9394,1445.8268
332.1603,321.6207,-284.9838,788.9732,507.295,489.8654,-521.487,479.932,2271.6152
334.0176,1.4033,624.2828,544.2351,-311.7268,-140.0147,597.3727,249.8284,2274.3277
335.8749,672.9891,530.8951,528.3354,-57.4589,-30.7101,156.8595,-24.7208,3034.772
337.7322,47.264,580.4052,414.499,723.2647,201.1171,606.1038,-90.8776,3747.9835
339.5894,532.918,787.1021,-681.2008,1037.2631,1097.1468,515.2863,460.0498,4875.0139
341.4467,255.2956,-529.9367,676.2165,1447.9982,-27.3172,813.041,474.0377,6920.3203
343.304,838.3812,525.5895,392.2387,-335.255,-166.1903,31.4984,588.528,8755.559
345.1613,375.5186,713.1126,237.0413,410.4485,301.0287,-248.6984,731.1485,13258.4328
347.0186,1172.3447,341.1953,346.4752,-494.982,519.2252,65.094,1125.5132,18230.2993
348.8759,127.8048,315.2224,304.5127,434.9425,271.2178,705.7749,33.6964,23791.5045
350.7331,460.5046,-212.0482,603.3216,-677.5738,49.692,-72.6563,281.6654,24602.9236
352.5904,-546.8105,-187.0733,698.899,315.7212,86.1323,-38.3307,922.9574,20014.999
354.4477,511.0232,-51.3298,227.0145,98.9538,346.218,329.8119,419.2647,14511.6694
356.305,608.8065,375.7067,365.0371,454.6139,315.7711,269.8573,-159.5448,9857.9757
358.1623,746.1211,435.3541,457.3578,-650.7597,176.9203,1027.725,538.2786,6536.1295
360.0196,412.7284,564.6174,232.4634,107.5336,447.2628,-211.8627,729.0547,5286.0939
361.8768,719.5505,-149.115,1047.1777,-324.9927,143.3574,-445.2427,1098.5545,4094.9315
363.7341,244.2659,-28.982,-18.692,931.2296,100.7435,722.8043,740.1006,3886.319
365.5914,-378.1589,222.1731,707.7421,857.508,352.1,262.1446,66.1176,2899.0732
367.4487,465.4891,-193.7597,1093.5522,-143.0949,617.3157,636.6908,970.6387,1965.3154
369.306,224.9647,223.9698,-43.7342,424.4979,113.5619,-372.0962,294.4542,1646.6339
371.1632,479.6073,274.2993,203.2197,206.6671,-490.1288,748.4136,165.5099,1640.9789
373.0205,756.9354,678.558,195.3469,729.6708,497.9733,24.569,-441.6867,2185.0454
374.8778,367.1436,656.1008,152.3549,168.5527,432.0985,536.3423,280.136,1198.8253
376.7351,-61.9997,105.2565,522.0962,504.5761,436.1044,734.4134,293.0446,1132.5182
378.5924,191.3861,22.6424,-165.7083,361.2248,453.9694,219.1339,-42.3732,616.7383
380.4497,304.0209,606.8076,579.7042,267.0897,430.0086,538.2908,46.5901,1450.776
382.3069,539.8525,804.4367,1186.506,1128.0311,755.8094,761.2995,278.7598,974.1725
384.1642,-306.6727,-273.1773,189.9578,218.7805,-13.3644,221.2392,139.548,866.0868
386.0215,-238.1394,214.3858,935.9383,-220.5649,675.335,815.0192,-68.9443,127.2719
387.8788,525.4738,569.0434,393.3751,-298.0752,914.9189,586.5361,399.1422,996.5534
389.7361,268.5201,77.1697,-238.1854,738.4818,428.2862,253.515,754.9356,853.7316
391.5934,26.4637,1131.2156,202.749,462.5169,523.3948,1141.1713,1353.5371,163.7273
393.4506,298.4533,-172.799,640.7599,-527.5282,835.4807,366.0547,980.051,297.0226
395.3079,74.9388,330.5285,731.7863,-99.9726,-142.134,623.1113,1120.2189,145.7096
397.1652,-182.6653,601.7312,78.8645,208.1015,1298.7412,179.5973,230.7538,886.9233
399.0225,218.3341,327.2511,899.1809,194.1822,198.2355,959.6782,1179.374,1303.3784
400.8798,990.2162,118.988,439.2115,-643.5892,739.623,-37.3858,969.2629,413.1617
402.737,-127.9448,641.314,-178.0071,143.0867,-454.2686,-119.4779,906.7091,554.9116
404.5943,249.1887,-318.7297,408.8408,520.3634,89.9322,146.3088,1678.5913,330.0292
406.4516,382.9599,732.753,-361.8929,459.4713,37.3387,491.5797,1573.776,182.0984
408.3089,-234.6425,209.9912,337.9824,791.3894,849.0966,49.8869,1308.459,12.3361
410.1662,659.6202,474.5932,-445.9862,549.5613,322.4677,369.4111,979.9854,987.6171
412.0235,107.3117,669.9833,-129.4429,198.6078,376.8874,884.9997,2106.7821,785.2564
413.8807,1453.3696,76.209,431.4709,429.2214,153.7092,872.0046,2493.4072,192.6397
415.738,670.5481,1007.875,228.1544,471.0867,147.389,1036.5427,2583.8806,1251.8489
417.5953,777.2257,-363.0169,324.8527,270.4362,-299.0228,95.203,2945.4409,1378.2939
419.4526,714.0702,500.9972,754.8334,755.4694,143.3384,412.3525,4193.6938,1067.4241
421.3099,459.1243,467.3706,700.3833,581.3424,740.9395,449.1987,4893.3364,476.4284
423.1672,73.7665,549.6177,340.604,268.5249,723.8486,405.9899,7300.7314,-83.3812
425.0244,-74.3858,-25.5812,-261.4328,269.7825,96.3689,79.0536,10030.172,119.0973
426.8817,144.0178,-229.1051,-477.1567,413.561,795.1542,-6.9732,15097.6487,104.0233
428.739,543.6754,-300.5696,332.5938,328.438,374.1202,-429.2666,19536.8033,-7.9465
430.5963,472.3619,1402.3658,175.3327,-197.6616,-379.9428,-521.7184,19952.5386,609.9276
432.4536,63.0828,782.3639,339.8527,41.0513,984.6537,1009.0792,16529.2343,659.4934
434.3109,126.6435,-653.467,-442.9661,969.09,306.3494,145.0792,12659.8377,-142.2254
436.1681,1413.2951,702.5171,1119.1006,-387.1082,-934.1286,3.5382,8602.0581,1213.2838
438.0254,1216.2592,214.7617,303.1617,1150.9237,261.6741,124.3245,6581.6024,78.7006
439.8827,1020.0653,718.5243,409.9768,-41.551,-260.9511,-2.4307,4246.1073,1000.1361
441.74,-227.3968,25.5126,352.5011,-118.4165,319.8488,469.5352,4006.8763,1094.6112
443.5973,189.8923,166.3012,208.1058,341.027,-22.9692,746.2417,2163.9679,1122.6608
445.4545,587.6367,-27.7125,549.5729,-88.7259,27.8296,652.3129,2014.1516,-577.7852
447.3118,604.0816,91.5016,401.7369,532.3119,-3.3473,119.0541,1984.3406,-338.6304
449.1691,778.3415,339.7595,603.6088,526.5697,909.3795,-79.0749,1117.2097,123.0638
451.0264,-82.7314,393.1238,368.3629,166.632,764.0179,777.537,953.8793,256.6763
452.8837,425.6328,-316.0662,774.7744,1215.7612,231.6442,486.9609,1334.6567,825.735
454.741,494.081,-198.1049,-72.9497,784.9263,224.8907,321.0648,1234.1637,93.8959
456.5982,262.0697,199.022,1536.6799,-182.2949,226.5305,450.2214,1288.372,277.1862
458.4555,503.2864,522.2897,-40.48,367.5094,21.4029,-729.9179,866.9538,304.4336
460.3128,-75.0022,-136.7753,517.6819,735.578,-398.4694,-135.9536,1359.1208,293.7787
462.1701,454.5697,-742.591,558.7182,-644.6526,-47.0921,454.2062,961.7128,837.3882
464.0274,213.7284,605.3146,-129.5716,488.5613,303.8334,486.5559,1361.238,261.2687
465.8847,588.0564,460.0494,869.8276,215.732,278.7633,106.1049,497.7429,973.2799
467.7419,529.324,-721.3497,388.3548,423.7301,77.0975,160.2372,316.7454,163.9664
469.5992,470.8872,557.3072,-118.7216,365.4339,462.4825,13.9625,881.4065,636.803
471.4565,-125.5261,573.7402,429.9939,551.6122,852.991,189.7437,652.1425,-276.8634
473.3138,600.7814,387.2481,360.44,605.204,259.6051,923.8546,903.6307,536.8908
475.1711,94.3558,560.6961,408.6146,-328.6873,52.2369,90.5962,948.1324,631.3173
477.0283,218.4808,226.0235,714.9788,312.4295,448.7839,-458.0633,554.3195,-20.768
478.8856,341.3444,928.8221,-28.4203,-196.678,373.3057,696.4206,362.3077,-77.3517
480.7429,360.2797,532.0278,296.6995,824.4714,697.861,830.4189,398.5965,338.399
482.6002,702.883,13.0236,702.4263,-502.3076,241.2487,150.8082,753.4143,1069.0035
484.4575,186.2672,-207.4021,-113.4621,26.2788,432.2056,599.8222,190.1401,-982.5028
486.3148,556.412,422.9448,953.7631,-93.0353,-495.94,289.4024,399.5651,95.265
488.172,-364.3258,-467.331,617.6537,881.7147,167.0025,511.1727,-9.6345,617.8995
490.0293,543.888,883.9823,527.3819,852.4733,27.5526,620.2158,-141.876,-666.7209
491.8866,282.6282,974.3991,1117.2985,274.7984,530.1288,474.939,79.7564,406.0231
493.7439,942.6044,429.8202,457.1227,-649.5888,-153.5052,660.202,175.361,244.2786
495.6012,-240.3965,287.4111,-252.8203,106.4544,719.5243,435.6108,392.7149,-107.1798
497.4585,102.8428,-17.5019,-113.214,570.9709,589.1835,1033.8808,460.0105,677.145
499.3157,409.849,-280.1136,614.3541,861.3702,285.7451,-381.2377,494.3852,1044.2864
501.173,170.6503,1001.6334,239.5557,146.9076,-444.5788,188.8903,269.6622,317.716
503.0303,398.4391,474.8608,867.6289,-238.4102,378.4902,891.482,-266.7103,42.5417
504.8876,-184.4924,-157.3747,-10.4228,1103.9268,-123.276,862.195,784.9272,567.7288
506.7449,-391.6999,19.9865,-91.8352,333.4634,-480.4733,1017.3433,371.2806,177.1188
508.6022,-309.1963,303.2071,502.6654,-168.9906,54.8607,1111.5262,154.5671,131.3589
510.4594,-30.603,17.9651,-567.465,6.1081,167.8924,2265.5809,515.2671,-217.5582
512.3167,814.7086,988.4246,685.275,118.2278,-290.5633,3004.3382,344.2115,-121.957
514.174,-329.6923,1136.6318,254.1227,316.9258,78.6059,3168.718,1051.3328,-115.601
516.0313,850.4583,-125.7364,-712.1014,1107.7004,559.8823,8100.5602,722.582,-163.4338
517.8886,15.3156,211.7881,681.9394,50.7268,344.167,17667.6318,201.5049,171.9782
519.7458,515.9401,370.9273,69.9561,268.0007,651.7667,40716.0156,550.8373,508.3376
521.6031,-117.65,55.2176,181.3584,-37.716,147.6601,33378.8481,408.5199,1175.1654
523.4604,433.8192,-391.6087,1.0724,-291.2956,40.4918,15034.4077,245.0832,259.9029
525.3177,456.8352,57.6526,410.0165,-11.1328,-185.0762,6506.991,-175.829,422.9031
527.175,303.7513,409.6837,205.7505,516.0322,31.9396,4547.1586,308.457,904.9634
529.0323,74.6727,217.2518,688.2788,181.2453,-696.631,2777.2464,562.6228,-108.4222
530.8895,159.6625,73.6903,-220.6386,60.8324,1152.1629,1535.6642,782.909,868.3105
532.7468,645.0013,37.0116,582.4074,-32.6211,214.3099,1223.6632,985.7303,188.1948
534.6041,1216.1791,668.3778,319.4268,152.555,302.8491,949.5145,1004.5786,103.9212
536.4614,741.5977,121.6493,-604.8729,251.5868,450.1139,830.0589,357.9297,618.1471
538.3187,183.5074,155.5949,226.2866,621.5768,510.545,956.3917,-512.3358,275.4384
540.176,450.6107,166.3497,661.3638,411.7435,173.5049,1210.4748,663.1411,329.0437
542.0332,1150.1441,290.3055,-297.3114,196.2973,468.6915,686.522,44.6314,187.4612
543.8905,22.6879,528.9933,94.4592,657.6741,-56.9079,930.2,225.669,591.4087
545.7478,-426.0165,649.8729,254.8265,1058.264,-188.3863,1925.4726,705.75,405.9004
547.6051,85.1816,1242.7162,298.1177,582.6478,183.2519,403.7595,12.8177,739.4828
549.4624,31.5945,570.8923,339.6684,655.2366,-253.2487,496.1225,184.2116,-91.4704
551.3196,141.312,163.5423,-5.7219,869.7396,310.9733,282.1198,-57.7811,-121.0756
553.1769,490.9223,356.4708,758.2838,385.4655,493.6512,-133.6988,-186.365,275.9234
555.0342,-130.8439,-28.0127,440.6559,806.7439,204.3151,1302.955,314.0622,-81.8492
556.8915,256.7848,-120.9912,411.3961,796.9321,391.7006,132.3656,706.648,484.7298
558.7488,127.7269,-645.894,536.1154,-231.5825,331.5716,-245.7592,597.6765,844.215
560.6061,399.1099,251.7375,-288.0469,467.7209,298.1113,664.8856,561.8621,751.5165
562.4633,253.7588,1398.6011,833.3682,-18.5882,550.5821,134.2105,-178.0498,-40.9542
564.3206,62.0117,-157.1288,139.5534,441.8362,714.6252,228.9796,736.0738,193.4835
566.1779,217.183,-63.0262,499.2607,849.9665,918.1081,995.434,-392.2125,28.2383
568.0352,305.4682,938.0203,346.8279,388.4416,261.6705,176.9396,36.7599,1005.4568
569.8925,999.2537,234.7536,411.0645,822.9732,608.1149,862.6337,-327.4685,792.7936
571.7498,430.9692,-327.1233,406.4047,-127.604,-199.3954,300.6292,57.825,700.256
573.607,163.1953,424.2047,494.8919,-257.8389,454.9489,989.271,321.3742,393.287
575.4643,954.2817,337.9176,538.7928,117.1209,494.1153,203.7545,299.659,-109.0982
577.3216,-164.7933,-67.1547,844.8205,45.4312,195.3493,431.9178,385.4636,575.6602
579.1789,1017.1085,-725.9423,278.0629,-131.2241,999.9799,96.9797,82.6351,-645.4368
581.0362,697.2448,346.3206,772.7425,212.0823,181.1739,590.2504,750.5196,-310.0205
582.8935,491.9391,188.9095,938.2232,-92.2984,-19.7513,-69.3745,989.8404,-70.7883
584.7507,295.2405,1301.5417,831.8742,658.2542,-287.1212,315.7876,1268.0128,1002.4605
586.608,801.5175,705.8028,1709.6353,100.0277,430.7878,-306.6891,546.8956,964.1469
588.4653,179.9122,166.9257,1416.5763,185.3641,998.4611,-229.9524,-8.2807,948.1434
590.3226,706.0285,817.9707,1169.4617,223.7243,497.5321,451.4141,697.908,1036.1005
592.1799,823.5327,259.033,1929.5493,212.4171,494.7924,814.5685,-247.9498,112.936
594.0371,1169.8831,202.4996,2390.5589,934.8623,277.0653,728.0219,292.512,-393.404
595.8944,591.2919,-95.0555,3830.7554,195.7678,813.5249,118.087,730.7783,1084.9987
597.7517,270.6882,300.7627,6015.8613,-397.982,-243.3086,1521.4681,237.8571,404.8678
599.609,814.5554,12.6745,7358.2597,-87.029,-62.0855,54.7022,367.9015,644.454
601.4663,605.8439,1477.2463,8782.9728,-2.626,-28.196,334.3789,62.6408,-219.8577
603.3236,1479.7164,63.0059,5917.4047,235.5727,290.4441,470.9437,-307.9872,12.5327
605.1808,1329.403,699.3038,4483.9851,40.9974,641.5355,968.2384,-170.5061,881.7986
607.0381,1166.6706,851.0617,4186.5452,-452.3499,607.356,460.0777,-278.7269,-98.9103
608.8954,2068.8816,-63.1892,1939.9342,153.1026,176.3653,-14.8509,-25.7131,22.9613
610.7527,1825.9274,405.1444,1496.6681,391.4669,643.9541,1015.8876,808.2621,518.9214
612.61,2992.1743,616.2992,1025.6594,328.4821,-360.1757,69.7637,1318.9707,-688.3366
614.4673,4036.4856,815.43,1349.9494,180.2685,115.5125,598.0216,582.321,681.6284
616.3245,5532.3469,761.7449,-139.0179,586.0183,528.3015,214.2074,152.1417,387.8377
618.1818,9263.3959,380.9293,765.6004,-57.7359,528.6863,374.9451,806.842,73.8093
620.0391,12054.312,1434.5063,644.1261,366.6907,332.8041,794.8943,-393.5869,436.9167
621.8964,12520.9143,1747.2411,677.5998,154.2143,41.8226,391.4763,163.7445,36.4916
623.7537,8622.8576,2137.5634,627.6617,174.2867,534.5065,883.9027,241.5084,283.5957
625.6109,5910.4841,3431.5172,1552.2516,6.7334,1215.8769,-22.4926,-21.8807,285.1614
627.4682,4174.4664,4871.4294,191.0974,-117.2031,1274.3928,269.8821,20.1451,214.5956
629.3255,2101.7457,6497.0398,396.0461,638.0725,-300.821,824.7096,1073.7485,970.4737
631.1828,2357.1474,8570.8787,216.8178,-60.1906,614.9472,580.582,-453.8505,660.7448
633.0401,1272.2273,8223.0159,490.2233,24.4681,-414.6605,358.2153,-182.046,6.3753
634.8974,715.9101,6110.8222,88.0004,1002.3883,668.1435,352.5438,484.0233,-140.5499
636.7546,998.1348,3871.4093,269.7411,259.6404,161.2889,308.9767,336.5125,1048.4124
638.6119,1865.0377,2810.136,329.6463,538.6582,475.7109,524.1279,690.4859,476.2395
640.4692,360.4388,2199.4124,-132.6332,-52.0732,127.8518,221.9793,221.2423,309.5027
642.3265,202.8506,1746.8381,171.7181,484.245,-174.0219,1030.2596,301.8404,-470.5652
644.1838,547.7478,893.469,969.7868,933.09,846.1935,580.952,201.6066,75.0115
646.0411,601.4767,253.0237,211.1719,373.2774,-54.7105,-111.6747,598.9387,884.6993
647.8983,-29.1929,801.1186,953.7955,-276.0245,8.2772,562.9987,-377.7397,-61.5566
649.7556,621.3755,491.8585,-431.9545,986.6502,-159.5071,968.9794,-38.1213,205.6246
